attractor_id,time_step,CK0,CK,AHK,AHP,BARR,IPT,PIN,CKX,AARR,ERF,AHP6,TDIF,PXY,IAA0,IAA,BR,BZR1,STM,GA,GID1,ETHL,ARF,HB8,TMO5,WOX4,LOG3,DELL,WRKY,LHW,ENDO
attractor_28,t+5,1,1,1,1,0,0,0,0,0,0,1,0_,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0
attractor_28,t+6,1,0,1,1,1,0,0,1,0,0,1,0_,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0
attractor_28,t+7,1,0,0,1,1,1,1,1,0,1,0,0_,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0
attractor_29,t,0,1,0,1,0,1,1,0,0,1,0,0_,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0
attractor_29,t+1,0,0,1,0,1,0,0,0,0,0,1,0_,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0
attractor_29,t+2,0,0,0,1,0,1,1,0,0,1,0,0_,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1
attractor_29,t+3,0,1,0,0,1,1,0,0,0,1,0,0_,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0
attractor_29,t+4,0,1,1,0,0,1,1,0,0,1,0,0_,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1
attractor_29,t+5,0,0,1,1,0,1,0,0,0,0,0,0_,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0
attractor_29,t+6,0,1,0,1,1,0,0,0,0,1,1,0_,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1
attractor_29,t+7,0,0,1,0,1,1,0,0,1,1,0,0_,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0
attractor_30,t,0,1,0,1,0,1,1,0,0,1,0,0_,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0
attractor_30,t+1,0,0,1,0,1,0,0,0,0,1,1,0_,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0
attractor_30,t+2,0,0,0,1,0,1,1,0,0,1,0,0_,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1
attractor_30,t+3,0,1,0,0,1,1,0,0,0,1,0,0_,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0
attractor_30,t+4,0,1,1,0,0,1,1,0,0,1,0,0_,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1
attractor_30,t+5,0,0,1,1,0,1,0,0,0,1,0,0_,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0
attractor_30,t+6,0,1,0,1,1,0,0,0,0,1,1,0_,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1
attractor_30,t+7,0,0,1,0,1,1,0,0,1,1,0,0_,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0
attractor_31,t,0,1,0,0,0,1,1,0,0,1,0,0_,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0
attractor_31,t+1,0,0,1,0,0,0,0,0,0,0,1,0_,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0
attractor_31,t+2,0,0,0,1,0,0,0,0,0,1,1,0_,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1
attractor_31,t+3,0,0,0,0,1,1,0,0,0,1,0,0_,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0
attractor_32,t,0,1,0,0,0,1,1,0,0,1,0,0_,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0
attractor_32,t+1,0,0,1,0,0,0,0,0,0,1,1,0_,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0
attractor_32,t+2,0,0,0,1,0,0,0,0,0,1,1,0_,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1
attractor_32,t+3,0,0,0,0,1,1,0,0,0,1,0,0_,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0
attractor_33,t,1,0,0,0,1,1,0,0,0,0,0,0_,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
attractor_33,t+1,1,1,0,0,0,1,1,1,0,1,0,0_,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
attractor_33,t+2,1,0,1,0,0,0,0,1,0,0,1,0_,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0
attractor_33,t+3,1,0,0,1,0,0,0,1,0,0,1,0_,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1
attractor_34,t,1,0,0,0,1,1,0,0,0,0,0,0_,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
attractor_34,t+1,1,1,0,0,0,1,1,1,0,1,0,0_,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0
